Country,literacyRate_2020,population_2020
Afghanistan,38.2,38928346
Albania,97.6,2877797
Algeria,80.2,43851044
Angola,71.1,32866272
Antigua and Barbuda,99,97929
Argentina,98.1,45195774
Armenia,99.7,2963243
Aruba,97.5,106766
Azerbaijan,99.8,10139177
Bahrain,95.7,1701575
Bangladesh,61.5,164689383
Belarus,99.7,9449323
Benin,38.4,12123200
Bhutan,64.9,771608
Bolivia,95.7,11673021
Bosnia and Herzegovina,98.5,3280819
Botswana,88.5,2351627
Brazil,92.6,212559417
Brunei,96,437479
Bulgaria,98.4,6948445
Burkina Faso,36,20903273
Burundi,85.6,11890784
Cambodia,77.2,16718965
Cameroon,75,26545863
Cape Verde,87.6,555987
Cayman Islands,98.9,65722
Central African Republic,36.8,4829767
Chad,40.2,16425864
Chile,97.5,19116201
China,96.4,1439323776
Colombia,94.7,50882891
Comoros,77.8,869601
Costa Rica,97.8,5094118
Croatia,99.3,4105267
Cuba,99.8,11326616
Cyprus,99.1,1207359
Czech Republic,99,10708981
Dominican Republic,91.8,10847910
DR Congo,63.8,89561403
Ecuador,94.5,17643054
Egypt,73.8,102334404
El Salvador,88,6486205
Equatorial Guinea,95.3,1402985
Eritrea,73.8,3546421
Estonia,99.8,1326535
Ethiopia,49.1,114963588
Gabon,83.2,2225734
Gambia,55.5,2416668
Georgia,99.8,3989167
Ghana,76.6,31072940
Greece,97.7,10423054
Guatemala,81.5,17915568
Guinea,30.4,13132795
Guinea-Bissau,59.9,1968001
Guyana,88.5,786552
Haiti,60.7,11402528
Honduras,88.5,9904607
Hungary,99.1,9660351
India,71.2,1380004385
Indonesia,93.9,273523615
Iran,86.8,83992949
Iraq,79.7,40222493
Israel,97.8,8655535
Italy,99.2,60461826
Ivory Coast,43.1,26378274
Jamaica,88.7,2961167
Jordan,95.4,10203134
Kazakhstan,99.8,18776707
Kenya,78,53771296
Kuwait,96.3,4270571
Kyrgyzstan,99.5,6524195
Laos,79.9,7275560
Latvia,99.9,1886198
Lebanon,93.9,6825445
Lesotho,79.4,2142249
Liberia,47.6,5057681
Libya,91,6871292
Lithuania,99.8,2722289
Macau,96.2,649335
Madagascar,64.7,27691018
Malawi,65.8,19129952
Malaysia,94.6,32365999
Maldives,99.3,540544
Mali,38.7,20250833
Malta,94.4,441543
Mauritania,52.1,4649658
Mauritius,90.6,1271768
Mexico,95.1,128932753
Moldova,99.4,4033963
Mongolia,98.4,3278290
Montenegro,98.7,628066
Morocco,68.5,36910560
Mozambique,58.8,31255435
Myanmar,93.1,54409800
Namibia,81.9,2540905
Nepal,63.9,29136808
New Caledonia,96.9,285498
Nicaragua,82.8,6624554
Niger,19.1,24206644
Nigeria,59.6,206139589
North Korea,100,25778816
Oman,91.1,5106626
Pakistan,57.9,220892340
Palau,99.5,18094
Palestine,96.5,5101414
Panama,95,4314767
Papua New Guinea,64.2,8947024
Paraguay,93.9,7132538
Peru,94.5,32971854
Philippines,96.3,109581078
Poland,99.8,37846611
Portugal,95.7,10196709
Puerto Rico,93.3,2860853
Qatar,97.3,2881053
Republic of the Congo,79.3,5518087
Romania,98.8,19237691
Russia,99.7,145934462
Rwanda,70.5,12952218
Samoa,99,198414
Saudi Arabia,94.7,34813871
Senegal,57.7,16743927
Serbia,98.1,8737371
Seychelles,91.8,98347
Sierra Leone,48.1,7976983
Singapore,96.8,5850342
Slovenia,99.7,2078938
Solomon Islands,84.1,686884
South Africa,94.3,59308690
South Sudan,27,11193725
Spain,98.1,46754778
Sri Lanka,92.6,21413249
Sudan,75.9,43849260
Suriname,95.6,586632
Syria,86.4,17500658
Taiwan,98.5,23816775
Tajikistan,99.8,9537645
Tanzania,70.6,59734218
Thailand,96.7,69799978
Timor-Leste,67.5,1318445
Togo,66.5,8278724
Tonga,99.4,105695
Trinidad and Tobago,99,1399488
Tunisia,81.8,11818619
Turkey,95,84339067
Turkmenistan,99.7,6031200
Uganda,78.4,45741007
Ukraine,99.8,43733762
United Arab Emirates,93.8,9890402
Uruguay,98.5,3473730
Uzbekistan,99.6,33469203
Vanuatu,85.2,307145
Venezuela,96.3,28435940
Vietnam,94.5,97338579
Yemen,70.1,29825964
Zambia,63.4,18383955
Zimbabwe,86.5,14862924
